sentence,Any T?,Time?,Date?,Place with T?,Person with T?,Other NE with T?,Explicit?,Symbols?,Set?,Duration?,Formal?,Digit?,Solar?,Gregorian?,Lunar?,MNTH,DP,RELATIVE(RY+RD),SEASON,WD
سکه تمام بهار آزادی هم با افزایش ۳ درصد روبه‌رو بود.,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
شنبه شب ها قبل خواب باید بیست دقیقه ورزش کنم.,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
عمل جراحی ۵ ساعت تمام طول کشید.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
هر ۱۰۰ گرم طلا امروز بیش از صد میلیون تومان ارزش گذاری می‌شود.,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
محرم سال ۱۴۳۴ ه.ق. در دوم ربیع الاول امام به دیدار حق تعالی شتافت.,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
تقویم شمسی نیز همانند تقویم میلادی بر اساس طلوع و غروب خورشید عمل می‌کند.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
دهه دوم محرم امسال را در تکیه مسجد به عزاداری مشغول بودند.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
از هفته پیش تا اولین روز سال علی هر روز به دیدن پدرش در بیمارستان هفت تیر می‌رود.,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
شب یلدا سال ۹۴ در دورهمی دانشگاه حضور داشت.,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
ساعت ۱۹ و سی و چهار دقیقه به وقت سیدنی دو تیم به مصاف هم می‌روند.,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
غروب خورشید یک پدیده نجومی است که صدها سال پیش اسرارش فاش شده است.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
۵ ۶ دقیقه که پای حرفش بشینی می‌فهمی که چیزی بارش نیست.,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
دوم ماه ذی الحجه حاجی ها پس از سفری یک ماهه به وطن بر می‌گردند.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
نماز صبح ساعت ۵ و ۳۲ قضا می‌شود.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
جلسه رئیس جمهور ترکیه رجب اردوغان ساعت ۶ به وقت ایران است.,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
پنجم ژوئن سال ۲۰۱۹ معادل ۲۳ مهر ۱۳۹۹ است.,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
دستور زیر هر ۳۰ ثانیه یکبار به مدت ۲ میلی ثانیه اجرا می‌شود.,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
تا اواسط سال میلادی جدید پروژه ادامه خواهد داشت.,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
از ۷ شعبان تا ۲۳ رمضان ما هر روز مشغول درس خواندن بودیم.,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0
مهدیه در دانشگاه علامه در حال تحصیل است.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
هر ساعت یکبار من با اون تماس می‌گیرم.,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
انتخابات ۸۸ به تظاهرات مردمی کشیده شد.,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
امشب و فردا شب با سردار آذری گفت و گو داریم.,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
گفت و گوی امشب خبرگزاری مهر با فرامرز اصلانی ساعت ۸ صبح فردا منتشر می‌شود.,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0
هر سال با شروع ماه مهر مدارس آغاز به کار می‌کنند.,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
امیرحسین ۵:۴۵ با شماره تلفن مدرسه ۰۳۱۳۳۶۶۲۱۷۴ تماس گرفت,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
شبکه ۴ سیما امشب ساعت ۹ برنامه عصر جدید دارد.,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
از دانشگاه به مقصد میدان آزادی هر ۳۰ دقیقه اتوبوس وجود دارد.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
بارش برف و کولاک سبب ریزش بهمن در جاده هراز شد.,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
تا سال ۲۰۱۳ مشکل مربوط به آلودگی هوا حل خواهد شد.,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
هر دقیقه دارای ۶۰ ثانیه است.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
۵:۲۳ PM هواپیما تیک آف می‌کند.,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
آذر خانم از شدت عصبانیت یک ثانیه هم صبر نکرد و به همسرش زنگ زد.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
تاریخ انقضای این محصول ۳ سال پس از تولید است.,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
۲۴ دقیقه از خانه تا کمپ دانشگاه فاصله است.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
زهرا خانم متولد دهه شصت است.,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
چند دقیقه قبل علی از در بیرون رفت.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
الان ساعت پنج و سی و چهار دقیقه و سی ثانیه است.,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
صبح حدود ساعت شیش از خواب پاشدم و دیدم نیم ساعتی خواب موندم.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
پونزده خرداد امسال جشن تولد علیه.,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
من دبستان در مدرسه هفتم تیر درس خواندم.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
طول دوره ی کارشناسی در حدود ۸ ترم و ۴ سال است.,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
۱۹۹۹-۱۲-۰۱ در کنفرانس acl در حدود ۷۰۰ مقاله پذیرفته شدند.,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
دقیقه به دقیقه به روزرسانی شده و پابلیش می‌شود.,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
سه شهریور ۲۰۰۲ به همراه چند تن از دوستام رفتیم سفر.,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
دوشنبه بامداد سوم ماه ربیع الاول در بغداد به هتل رفتیم.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1
به خیالش من نمی‌فهمم دو سه ساعته رفته و خبری ازش نیست.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ددلاین کنفرانس ۳ ساعت دیگست.,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
۱۱ و ۱۱ و نیم شب که میشه دیگه دلم می‌گیره.,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
افسانه خورشید و ماه هر شب ساعت ۹ pm از شبکه ۳ پخش می‌شود.,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0
بازی ها جام جهانی ۲۰۲۳ امسال در قطر برگزار می‌شود.,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
در سفری سه روزه که به ترکیه داشتیم با رجب اردوغان آشنا شدیم.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
سه شب و چهار روز اقامتمون در هتل واقعا بی نظیر بود.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
با پایان روز سشنبه من تنها سه روز دیگر برای تکمیل این مقاله فرصت دارم.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
امام جمعه شهر رضا امروز پس از خطبه دوم نماز جمعه عملکرد مسئولین را زیر سوال برد.,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
این طرح در شورای عالی فضای مجازی در تاریخ ۱۳۹۹-۰۳-۰۲ به تصویب رسیده است.,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
انتخابات سال ۸۸ در ۱۵ ام مرداد ماه برگزار شد.,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
درست سه ساعت قبلش داشتم از استرس گریه می‌کردم.,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
اتوبان هفت تیر مسیر یزد تا تبریز را به ۴ ساعت کاهش می‌دهد.,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
مجموعه ورزشی ۱۵ خرداد به مساحت ۲ هکتار به دست رئیس جمهور افتتاح شد.,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
شیش هفت ثانیه بیشتر زمان تا پایان به روزرسانی نمونده.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
روزی سه ساعت ورزش می‌کردم تا اینکه این هفته پام شکست.,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
شست و شوی ماشین لباس شویی بیشتر از ۳۰ دقیقه طول نمی‌کشه.,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
پریروز وقت ناهار ساعت ۳ دقیقه به ۴ عصر بود که زنگ در خورد.,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
چند سال پیش کتاب شاهنامه را خواندم.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
دیشب ساعت ۱۲ و ربع خوابیدم.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
دو سه سال آینده ممکن است دنیا منفجر بشه.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
سه دقیقه مونده به بازی بود که کاپیتان پاش شکست.,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
دخترک آخر وقت به کمک مادرش تکالیفش رو انجام داد.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
دو سال و نیم پیش روز عید قربان رفتیم شمال.,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
بیست دقیقه دیگر شام حاضر میشه.,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
ساعت ۱۲ و ۱۸ دقیقه به کوه می‌رویم.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
زلزله ۵.۳ ریشتری ساعت ۵ و ۳۰ دقیقه صبح اهواز را لرزاند.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
ساعت ۳ نصف شب با دوستانم به استخر رفتیم.,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ساعت ۴ صبح به وقت سحر پاشدیم.,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
ماه رمضان هر سال ما ۱۴ ام ماه در مسجد محل افطار داریم.,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
تولد امام حسن مورخ ۱۵ رمضان است.,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
ساعت یک و نیم رفتیم گیم نت.,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
دانش آموزان سال نهم هر ساله امتحان استانی دارند.,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
من ساعت پنج صبح کولر را خاموش کردم.,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
بهمن بازرگان برای یک دوره ی موقت سه ماه حکم وزارت کل کشور را داشت.,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
برآورد خسارت سیل و بهمن در شهر های مرکزی ایران در طی سه سال اخیر معادل سه میلیارد است.,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
به خیال من ۱۳ روز برای انجام کار ها کافی بود.,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
۱۴۰۱ هجری شمسی ۲۳ فروردین چهارشنبه را هرگز فراموش نمی‌کنم.,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
در قرن هفتم میلادی جنگ های صلیبی ۱۰۰ ساله در گرفت.,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0
حافظ شاعر پرآوازه قرن هشتم هجری شمسی بود.,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
در قرن اخیر ایران پیشرفت های بسیار را کسب نمونه است.,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
شنبه ها به دیدن مادرم رفته و تا بامداد می‌مانم.,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
طبق پیش بینی هواشناسی هوا طی سه روز آتی آفتابی است.,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
با وجود سه ساعت اختلاف میان امستردام و تهران پرواز ساعت ۳ و سی دقیقه عصر انجام می‌شود.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
آبیاری درختان در شب از ۲ تا ۳ صبح بسیار مناسب است.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
فروردین موسوی به همراه تیمی از ایران به در تاریخ پنج ژوئن به کره ماه سفر کردند.,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
اخبار ظهر ساعت ۱۴ بنظرم حدود ۴۰ دقیقه ای طول می‌کشد.,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
۳ فروردین سال ۱۳۳۰ چشم به جهان گشود.,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0
با شماره ۰۳۱۳۳۶۶۲۱۷۴ تماس گرفتم و ۲۰ دقیقه تمام صحبت کردیم.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
دوشنبه صبح باید به جلسه اداره برسم.,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
چهارشنبه عصر ساعت ۲۲:۴۰ راهی خانه پدری شدم.,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1
با حضور آذر جهانبخش در مراسم امسال دیگر من حس تنهایی نکردم.,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
طی چند دقیقه اخیر متوجه شدم قیمت گوشت از ماه گذشته تا کنون چند برابر شده است.,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
ماه های گذشته به سختی گذشت.,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
پس از تنها گذشت چند ماه از زلزله، سیل شهر را فرا گرفت.,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
نمی‌دونم چطوری می‌تونی چندین و چند ساعت بشینید و کاری نکنی.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
آخر بعد چند ماه یه جوابی به ما داد.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
خب آخر شبه دیگه و می‌خوام تا پنج شیش دقیقه دیگه برقا رو خاموش کنم.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
نوشتم ۰۴/۰۷/۱۳۷۶ روی دستم تا تاریخ تولدش دو سه روز دیگه یادم نره.,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
زمان اپلای برای آمریکا از اوایل سپتامبر تا اواخر دسامبر باید باشه.,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
زمان امتحانات هر امتحان تنها ۹۰ دقیقه وقت داشت و نهایتا یک ربع هم تمدید می‌شد.,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
از شنبه تا چهارشنبه کار می‌کنیم و بقیه هفته رو به استراحت می‌گذرونیم.,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
تیره شدن رنگ صورت در روز های گرم تابستانی رایج است.,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
امروز سوم تیره و تا پایان تابستان ۷۷ روز دیگه مونده.,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0
من محمد تقی بهار و مهدی آذر یزدی را چند ماهی است که می‌شناسم.,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
سه سال قبل یک بار در جلسه ای تو را دیدم.,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
نخسین ساعات چهارشنبه مورخ ۲۲ شهریور ۱۳۷۸ هجری شمسی بود.,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
دوشنبه بازار محل ما از ساعت ۹ صبح شروع به کار می‌کند.,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
رضا در سن ۲۴ سالگی وارد دانشگاه شد.,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
روز های ششم تا هیجدهم سپتامبر در دانشگاه مراسم جشن برقرار است.,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
۱۹۳۴ - ۱۹۵۰ میلادی اوج شکوه ادبیات در آمریکا بود.,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
ماه مبارک رمضان نزدیک است و باید تا ۲۰ روز دیگر آماده شد.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0
دقائق اولیه بازی به نفع تیم آبی سپری شد.,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
نیمه اول روز به خوبی گذشت.,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
مساله فقدان آب در فصل تابستان جدی تر می‌شود.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
سال های ۱۳۹۸ تا ۹۹ سال های پر آشوبی بودند.,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
در هفته جاری قصد دارم به یک مسافرت ۳ روزه برم.,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
در دومین ماه از سال جاری انتخابات برگزار می‌شود.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
کمتر از ۱۰ روز دیگر تا پایان سال شمسی مانده.,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
اردیبهشت ماه امسال هم از آن اردیبهشت های خاص بود.,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
از قشنگیای این ماه اینه که خیلی می‌تونیم خونه باشیم.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
پنج هزار سال پیش مردمانی در این سرزمین زندگی می‌کردند.,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
سومین پنجشنبه ماه راس ساعت ۲ شب بهم زنگ زد.,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
آخر هفته ها با رضا به مدرسه ۱۵ خرداد می‌رویم.,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
اگر هستی شنبه عصر بریم قهوه بخوریم.,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
این دو هفته پشت سر هم دوشنبه ها تعطیل بودند.,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1
در آمریکا یک نفر با صد تیر به مردم شلیک کرده بود.,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
تا دوشنبه این هفته یعنی ۲ آذرماه باید به تکلیفم برسم.,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
تاریخ آمریکا سرشار از اتفاقات تلخ نظیر ۱۱ سپتامبر است.,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
سرعت خودرو های برقی در سال های اخیر به ۲۵۰ کیلومتر بر ساعت هم رسیده است.,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
در رشته تیر و کمان رسول محمدی مدال طلا را از آن خود کرد.,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
عصرهای پنج شنبه به همراه دوستانم به پارک میرم و شب رو اونجام.,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
فردا قراره با رضا و مهسا ساعت ۴ بریم خرید.,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
البته چندان از عمر من نمانده و به قول ممتاز بیگم شاید دو سه سال دیگری زنده نباشم,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
وابسته به موضوع کارشون یک ماه و نیمه ویزاشون اومده بود,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
خیلی از بچه ها کمتر از یک ماه هم ویزا شدن.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
خانمم شامل این ۴۰ ساعت دوهفتگی نمیشه و بدون محدودیت زمانی میتونه کار بکنه,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
در حال حاضر سربازم و 8 ماه دیگه از سربازیم مونده. ,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
اون برای اون زمان سال 2016 بود الان نمیخواد ضروری نیست,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
در ماه نوامبر ۲۰۱۶ طرحی حمایتی برای کاهش هزینه ها آغاز نمود که در ماه آپریل ۲۰۱۷ بصورت رسمی رونمایی شد.,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
الان من 25 جولای هستم و استاد گفته اگر تا آگوست بیاد میتونی بیای ولی اگر ویزا تا اگوست نیومد دیفر میکنه,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
گفته فقط تا پاییز 2023 وقت داری شروع کنی,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
اگه کسی برای ماه های مارچ و آپریل از دانشگاه های استرالیا پذیرش گرفته.,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
ایا امکان داره یکی دو روز قبل از لاج ویزا وقت انگشت نگاری رو رزرو کرد؟,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
برای من که شروع ترمم فوریه ۲۰۲۳ هست، کی باید برم سفارت؟,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
نهایت ۲ ماه فرصت ویزا داده و گفته قابل دیفر نیست,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
معمولا ۲_۳ ماهه میاد ولی خب این قضیه داره,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
والا به نظرم تا 31 شهریور دانشگاها دیگه ثبت نامشون اوکی میشه,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
